catalogue_ticker,company_name,catalogue_country,catalogue_exchange_hint,catalogue_is_us_listed,resolution_status,resolution_note,exchange_code,mic,symbol,symbol_format,security_kind,listing_country,currency,figi,share_class_figi,isin,is_primary,is_us,confidence,source
HL,Hecla Mining Company,US,NYSE,true,resolved,matched US directory as HL,US,XNYS,HL,us,ordinary,US,USD,BBG000BL5W86,BBG001S5RXF7,,true,true,0.95,finnhub_directory
HLMA,Halma PLC,GB,LSE,false,resolved,,LN,XLON,HLMA,suffixed,ordinary,GB,GBP,BBG000BDLT47,BBG001S628F7,,true,false,0.95,openfigi
HLMA,Halma PLC,GB,LSE,false,resolved,,US,OOTC,HLMAF,us,ordinary,US,USD,BBG000CZJY94,BBG001S628F7,,false,true,0.9,finnhub_directory
HLMA,Halma PLC,GB,LSE,false,resolved,,US,OOTC,HALMY,us,adr,US,USD,BBG00K7H0L49,BBG00K7H0M65,,false,true,0.75,finnhub_directory
HLMA.F,Halma PLC,US,OTCPK,false,resolved,resolved by name search to HLMAF on US,US,XNYS,HLMAF,us,ordinary,US,USD,BBG000CZJY94,BBG001S628F7,,true,true,0.7,finnhub_directory
HLMA.F,Halma PLC,US,OTCPK,false,resolved,resolved by name search to HLMAF on US,US,OOTC,HALMY,us,adr,US,USD,BBG00K7H0L49,BBG00K7H0M65,,false,true,0.7,finnhub_directory
HLNE,Hamilton Lane Inc,US,NASDAQGS,true,resolved,matched US directory as HLNE,US,XNAS,HLNE,us,ordinary,US,USD,BBG00FX58Q66,BBG00FX58Q75,,true,true,0.95,finnhub_directory
HLT,Hilton Worldwide Holdings Inc,US,NYSE,true,resolved,matched US directory as HLT,US,XNYS,HLT,us,ordinary,US,USD,BBG0058KMH30,BBG0058KMH49,,true,true,0.95,finnhub_directory
HLX,Helix Energy Solutions Group Inc,US,NYSE,true,resolved,matched US directory as HLX,US,XNYS,HLX,us,ordinary,US,USD,BBG000J7Q1L9,BBG001S978V8,,true,true,0.95,finnhub_directory
HMDP.F,Hammond Power Solutions Inc,US,OTCPK,false,resolved,resolved by name search to HMDPF on US,US,XNYS,HMDPF,us,ordinary,US,USD,BBG000J50B66,BBG001SBH511,,true,true,0.7,finnhub_directory
HMN,Horace Mann Educators Corporation,US,NYSE,true,resolved,matched US directory as HMN,US,XNYS,HMN,us,ordinary,US,USD,BBG000BL7VL1,BBG001S5RY01,,true,true,0.95,finnhub_directory
HNNM.Y,H & M Hennes & Mauritz AB ADR,US,OTCPK,true,resolved,resolved by name search to HNNMY on US,US,XNYS,HNNMY,us,adr,US,USD,BBG000CVL085,BBG001SVD2P2,,true,true,0.7,finnhub_directory
